date,time_riyadh,theme,content_type,source_id,platform,channel_kind,image_path,public_url,text,hashtags,buffer_status
2026-07-06,09:45,Dampa Seafood Grill - Dubai,monthly-place,monthly-2026-07-06_to_2026-08-04-2026-07-06-prompt,X,prompt,,,"لو القرار محتاج بحث طويل، خذ الزبدة أول. بعدها قرر براحتك.

موضوع اليوم: Dampa Seafood Grill - Dubai

https://app.alzbdh.com",#الزبدة #زبدة_الأماكن #زبدة_السفر #زبدة_العطور,ready
2026-07-06,12:35,Dampa Seafood Grill - Dubai,monthly-place,monthly-2026-07-06_to_2026-08-04-place-ChIJvYwf99hcXz4Rp4ci-Nb3bxg-x,X,visual,content/monthly-batch/2026-07-06_to_2026-08-04/images/x_1600x900/place-ChIJvYwf99hcXz4Rp4ci-Nb3bxg.png,https://raw.githubusercontent.com/mohammedhalosaimi/AlzbdhMarketing/main/content/monthly-batch/2026-07-06_to_2026-08-04/images/x_1600x900/place-ChIJvYwf99hcXz4Rp4ci-Nb3bxg.png,"Dampa Seafood Grill - Dubai

مطعم خارج دائرة الرياض المعتادة. تقييم الزبدة 9.8/10، والزبدة تقول: إذا تبي جمعة بحريات مرتبة، خذ مكس الكاجن أو البلاتر المشكل وادخل على الصوصات مباشرة. المكان قوي في الطزاجة والكمية،

https://app.alzbdh.com",#الزبدة #زبدة_الأماكن #dubai #مطاعم,ready
2026-07-06,20:45,Dampa Seafood Grill - Dubai,monthly-place,monthly-2026-07-06_to_2026-08-04-place-ChIJvYwf99hcXz4Rp4ci-Nb3bxg-instagram,Instagram,visual,content/monthly-batch/2026-07-06_to_2026-08-04/images/instagram_1080x1350/place-ChIJvYwf99hcXz4Rp4ci-Nb3bxg.png,https://raw.githubusercontent.com/mohammedhalosaimi/AlzbdhMarketing/main/content/monthly-batch/2026-07-06_to_2026-08-04/images/instagram_1080x1350/place-ChIJvYwf99hcXz4Rp4ci-Nb3bxg.png,"Dampa Seafood Grill - Dubai

زبدة الأماكن تقول: مكس البحريات بالكاجن هو اللي شايل المكان فعلاً، ومعاه الصوصات الطيبة والكمية الكبيرة يطلع مناسب للشاركة. الأكل طازج والخدمة سريعة وودودة، بس الزحمة وقت الذروة قد تطول شوي، والمشروبات مو دايم أقوى نقطة عندهم.

الهدف مو بس تعرف التقييم؛ تعرف وش يمدحون ووش تنتبه له قبل الزيارة.

https://app.alzbdh.com",#الزبدة #زبدة_الأماكن #dubai #مطاعم,ready
2026-07-06,21:30,Dampa Seafood Grill - Dubai,monthly-place,monthly-2026-07-06_to_2026-08-04-place-ChIJvYwf99hcXz4Rp4ci-Nb3bxg-tiktok,TikTok,visual,content/monthly-batch/2026-07-06_to_2026-08-04/images/tiktok_1080x1920/place-ChIJvYwf99hcXz4Rp4ci-Nb3bxg.png,https://raw.githubusercontent.com/mohammedhalosaimi/AlzbdhMarketing/main/content/monthly-batch/2026-07-06_to_2026-08-04/images/tiktok_1080x1920/place-ChIJvYwf99hcXz4Rp4ci-Nb3bxg.png,"Dampa Seafood Grill - Dubai

تقييم الزبدة 9.8/10.
إذا تبي جمعة بحريات مرتبة، خذ مكس الكاجن أو البلاتر المشكل وادخل على الصوصات مباشرة. المكان قوي في الطزاجة والكمية،

https://app.alzbdh.com",#الزبدة #زبدة_الأماكن #dubai #مطاعم,ready
2026-07-07,09:45,بالي,monthly-destination,monthly-2026-07-06_to_2026-08-04-2026-07-07-prompt,X,prompt,,,"المكان، الوجهة، أو العطر: لا تبدأ من الحيرة. ابدأ من الخلاصة.

موضوع اليوم: بالي

https://app.alzbdh.com",#الزبدة #زبدة_الأماكن #زبدة_السفر #زبدة_العطور,ready
2026-07-07,12:35,بالي,monthly-destination,monthly-2026-07-06_to_2026-08-04-destination-bali-x,X,visual,content/monthly-batch/2026-07-06_to_2026-08-04/images/x_1600x900/destination-bali.png,https://raw.githubusercontent.com/mohammedhalosaimi/AlzbdhMarketing/main/content/monthly-batch/2026-07-06_to_2026-08-04/images/x_1600x900/destination-bali.png,"بالي في بالك؟

أبرزها: حقول الأرز في أوبود، معبد تانا لوت، شاطئ سميناك. أفضل وقت: Apr، May، Jun، Jul

خططها على https://app.alzbdh.com",#الزبدة #زبدة_السفر #سفر #بالي,ready
2026-07-07,20:45,بالي,monthly-destination,monthly-2026-07-06_to_2026-08-04-destination-bali-instagram,Instagram,visual,content/monthly-batch/2026-07-06_to_2026-08-04/images/instagram_1080x1350/destination-bali.png,https://raw.githubusercontent.com/mohammedhalosaimi/AlzbdhMarketing/main/content/monthly-batch/2026-07-06_to_2026-08-04/images/instagram_1080x1350/destination-bali.png,"بالي مو مجرد صور.

أبرزها: حقول الأرز في أوبود، معبد تانا لوت، شاطئ سميناك.

أفضل وقت: Apr، May، Jun، Jul

زبدة السفر تساعدك تبدأ من السياق، مو من الحيرة.

https://app.alzbdh.com",#الزبدة #زبدة_السفر #سفر #بالي,ready
2026-07-07,21:30,بالي,monthly-destination,monthly-2026-07-06_to_2026-08-04-destination-bali-tiktok,TikTok,visual,content/monthly-batch/2026-07-06_to_2026-08-04/images/tiktok_1080x1920/destination-bali.png,https://raw.githubusercontent.com/mohammedhalosaimi/AlzbdhMarketing/main/content/monthly-batch/2026-07-06_to_2026-08-04/images/tiktok_1080x1920/destination-bali.png,"بالي

أبرزها: حقول الأرز في أوبود، معبد تانا لوت، شاطئ سميناك.
أفضل وقت: Apr، May، Jun، Jul

خططها على https://app.alzbdh.com",#الزبدة #زبدة_السفر #سفر #بالي,ready
2026-07-08,09:45,أنجلز شير أون ذا روكس,monthly-perfume,monthly-2026-07-06_to_2026-08-04-2026-07-08-prompt,X,prompt,,,"وش ودك تشوف في الزبدة أكثر: مطاعم خارج السعودية، وجهات جديدة، أو عطور؟

موضوع اليوم: أنجلز شير أون ذا روكس

https://app.alzbdh.com",#الزبدة #زبدة_الأماكن #زبدة_السفر #زبدة_العطور,ready
2026-07-08,12:35,أنجلز شير أون ذا روكس,monthly-perfume,monthly-2026-07-06_to_2026-08-04-perfume-by-kilian-angel-s-share-on-the-rocks-113083-x,X,visual,content/monthly-batch/2026-07-06_to_2026-08-04/images/x_1600x900/perfume-by-kilian-angel-s-share-on-the-rocks-113083.png,https://raw.githubusercontent.com/mohammedhalosaimi/AlzbdhMarketing/main/content/monthly-batch/2026-07-06_to_2026-08-04/images/x_1600x900/perfume-by-kilian-angel-s-share-on-the-rocks-113083.png,"أنجلز شير أون ذا روكس من باي كيليان.

تشمّ رائحة شرائح جريب فروت والليمون الباردة وكأنها رُشّت على كأس كونياك دافئ مع خيوط من الكراميل والقرفة، وينتهي بانطباع خشبي محمّص يذكّرك ببرميل البلوط.

خذ زبدة العطر قبل التجربة.

https://app.alzbdh.com/perfumes",#الزبدة #زبدة_العطور #عطور #باي_كيليان,ready
