date,time_riyadh,theme,content_type,source_id,platform,channel_kind,image_path,public_url,text,hashtags,buffer_status,post_key,alt_text
2026-06-20,20:20,القاهرة,scratch-destination,scratch-cairo-destination-night,TikTok,scratch-tonight,content/buffer-batches/2026-06-20_scratch-tonight/images/tiktok_1080x1920/scratch-2026-06-20-2020-tiktok-cairo.png,https://raw.githubusercontent.com/mohammedhalosaimi/AlzbdhMarketing/main/content/buffer-batches/2026-06-20_scratch-tonight/images/tiktok_1080x1920/scratch-2026-06-20-2020-tiktok-cairo.png,القاهرة تحتاج ترتيب أكثر من حماس. الزبدة تختصر لك البداية: أهم الأماكن، توقيت الحركة، ووش يستاهل وقتك.,#الزبدة #زبدة_السفر #القاهرة #سفر,ready,scratch-2026-06-20-2020-tiktok-cairo,زبدة السفر - القاهرة
2026-06-20,20:40,مطعم جوري ايليت,scratch-place,scratch-jori-elite-night,X,scratch-tonight,content/buffer-batches/2026-06-20_scratch-tonight/images/x_1600x900/scratch-2026-06-20-2040-x-jori-elite.png,https://raw.githubusercontent.com/mohammedhalosaimi/AlzbdhMarketing/main/content/buffer-batches/2026-06-20_scratch-tonight/images/x_1600x900/scratch-2026-06-20-2040-x-jori-elite.png,مطعم جوري ايليت؟ لا تبدأ من الصور فقط. الزبدة تختصر لك وش يمدحون ووش تنتبه له قبل الزيارة.,#الزبدة #زبدة_الأماكن #مطاعم,ready,scratch-2026-06-20-2040-x-jori-elite,زبدة الأماكن - مطعم جوري ايليت
2026-06-20,21:00,Pelicana Chicken Atlanta,scratch-place,scratch-pelicana-atlanta-night,Instagram,scratch-tonight,content/buffer-batches/2026-06-20_scratch-tonight/images/instagram_1080x1350/scratch-2026-06-20-2100-instagram-pelicana-atlanta.png,https://raw.githubusercontent.com/mohammedhalosaimi/AlzbdhMarketing/main/content/buffer-batches/2026-06-20_scratch-tonight/images/instagram_1080x1350/scratch-2026-06-20-2100-instagram-pelicana-atlanta.png,Pelicana Chicken Atlanta من الأماكن اللي تحتاج تعرف وش تطلب قبل ما تروح. الزبدة تختصر لك المدح والملاحظات بدون لف.,#الزبدة #زبدة_الأماكن #atlanta #مطاعم,ready,scratch-2026-06-20-2100-instagram-pelicana-atlanta,زبدة الأماكن - Pelicana Chicken Atlanta
2026-06-20,21:20,لوم إيديال بارفان,scratch-perfume,scratch-lhomme-ideal-parfum-night,TikTok,scratch-tonight,content/buffer-batches/2026-06-20_scratch-tonight/images/tiktok_1080x1920/scratch-2026-06-20-2120-tiktok-lhomme-ideal.png,https://raw.githubusercontent.com/mohammedhalosaimi/AlzbdhMarketing/main/content/buffer-batches/2026-06-20_scratch-tonight/images/tiktok_1080x1920/scratch-2026-06-20-2120-tiktok-lhomme-ideal.png,لوم إيديال بارفان من غيرلان: عطر يحتاج تعرف مزاجه قبل التجربة. الزبدة تختصر لك الانطباع وهل يناسبك.,#الزبدة #زبدة_العطور #عطور #غيرلان,ready,scratch-2026-06-20-2120-tiktok-lhomme-ideal,زبدة العطور - لوم إيديال بارفان
2026-06-20,21:40,Rusty Pelican Miami,scratch-place,scratch-rusty-pelican-miami-night,X,scratch-tonight,content/buffer-batches/2026-06-20_scratch-tonight/images/x_1600x900/scratch-2026-06-20-2140-x-rusty-pelican.png,https://raw.githubusercontent.com/mohammedhalosaimi/AlzbdhMarketing/main/content/buffer-batches/2026-06-20_scratch-tonight/images/x_1600x900/scratch-2026-06-20-2140-x-rusty-pelican.png,Rusty Pelican Miami مو بس إطلالة. الزبدة تختصر لك هل التجربة تستاهل، ووش تنتبه له قبل الحجز.,#الزبدة #زبدة_الأماكن #miami #مطاعم,ready,scratch-2026-06-20-2140-x-rusty-pelican,زبدة الأماكن - Rusty Pelican Miami
2026-06-20,22:00,تيليا,scratch-perfume,scratch-tilia-night,Instagram,scratch-tonight,content/buffer-batches/2026-06-20_scratch-tonight/images/instagram_1080x1350/scratch-2026-06-20-2200-instagram-tilia.png,https://raw.githubusercontent.com/mohammedhalosaimi/AlzbdhMarketing/main/content/buffer-batches/2026-06-20_scratch-tonight/images/instagram_1080x1350/scratch-2026-06-20-2200-instagram-tilia.png,تيليا من مارك أنطوان باروا: عطر هادئ ومضيء. الزبدة تعطيك الانطباع المختصر قبل التجربة.,#الزبدة #زبدة_العطور #عطور,ready,scratch-2026-06-20-2200-instagram-tilia,زبدة العطور - تيليا
2026-06-20,22:20,InterContinental Cairo Semiramis,scratch-place,scratch-intercontinental-cairo-night,TikTok,scratch-tonight,content/buffer-batches/2026-06-20_scratch-tonight/images/tiktok_1080x1920/scratch-2026-06-20-2220-tiktok-intercontinental-cairo.png,https://raw.githubusercontent.com/mohammedhalosaimi/AlzbdhMarketing/main/content/buffer-batches/2026-06-20_scratch-tonight/images/tiktok_1080x1920/scratch-2026-06-20-2220-tiktok-intercontinental-cairo.png,InterContinental Cairo Semiramis على النيل. الزبدة تساعدك تعرف هل الموقع والخدمة يناسبون خطتك.,#الزبدة #زبدة_الأماكن #القاهرة #فنادق,ready,scratch-2026-06-20-2220-tiktok-intercontinental-cairo,زبدة الأماكن - InterContinental Cairo Semiramis
2026-06-20,22:40,توبيروز أسترال,scratch-perfume,scratch-tuberose-astrale-night,X,scratch-tonight,content/buffer-batches/2026-06-20_scratch-tonight/images/x_1600x900/scratch-2026-06-20-2240-x-tuberose-astrale.png,https://raw.githubusercontent.com/mohammedhalosaimi/AlzbdhMarketing/main/content/buffer-batches/2026-06-20_scratch-tonight/images/x_1600x900/scratch-2026-06-20-2240-x-tuberose-astrale.png,توبيروز أسترال من Maison Crivelli: عطر زهري لافت. الزبدة تختصر لك هل يناسبك قبل الشراء.,#الزبدة #زبدة_العطور #عطور,ready,scratch-2026-06-20-2240-x-tuberose-astrale,زبدة العطور - توبيروز أسترال
2026-06-20,23:00,Hanoi Corner Restaurant,scratch-place,scratch-hanoi-corner-night,Instagram,scratch-tonight,content/buffer-batches/2026-06-20_scratch-tonight/images/instagram_1080x1350/scratch-2026-06-20-2300-instagram-hanoi-corner.png,https://raw.githubusercontent.com/mohammedhalosaimi/AlzbdhMarketing/main/content/buffer-batches/2026-06-20_scratch-tonight/images/instagram_1080x1350/scratch-2026-06-20-2300-instagram-hanoi-corner.png,Hanoi Corner Restaurant: قبل ما تطلب، خذ الزبدة. وش يمدحون؟ وش تنتبه له؟ وهل المكان يناسب طلعتك؟,#الزبدة #زبدة_الأماكن #vietnamese #مطاعم,ready,scratch-2026-06-20-2300-instagram-hanoi-corner,زبدة الأماكن - Hanoi Corner Restaurant
2026-06-20,23:20,ناركوتيك ديلايت,scratch-perfume,scratch-narcotic-delight-night,TikTok,scratch-tonight,content/buffer-batches/2026-06-20_scratch-tonight/images/tiktok_1080x1920/scratch-2026-06-20-2320-tiktok-narcotic-delight.png,https://raw.githubusercontent.com/mohammedhalosaimi/AlzbdhMarketing/main/content/buffer-batches/2026-06-20_scratch-tonight/images/tiktok_1080x1920/scratch-2026-06-20-2320-tiktok-narcotic-delight.png,ناركوتيك ديلايت من Initio: عطر جريء وحلو. الزبدة تختصر لك الإحساس وهل يناسبك.,#الزبدة #زبدة_العطور #عطور #initio,ready,scratch-2026-06-20-2320-tiktok-narcotic-delight,زبدة العطور - ناركوتيك ديلايت
